id_client,code_client,sexe,tranche_age,profession,secteur_activite,type_client,statut_client,date_adhesion
1,CUST-0000001,M,46-60 ans,Vendeur,Transport,Physique,En veille,2024-12-22
2,CUST-0000002,F,46-60 ans,Étudiant,Artisanat,Association,Actif,2021-01-30
3,CUST-0000003,F,46-60 ans,Enseignant,Éducation,Physique,Actif,2020-08-30
4,CUST-0000004,M,26-35 ans,Vendeur,Distribution,Physique,Actif,2026-04-14
5,CUST-0000005,F,18-25 ans,Tailleur,Agriculture,Moral,Actif,2022-01-04
6,CUST-0000006,F,18-25 ans,Pêcheur,Transport,Physique,Actif,2025-10-03
7,CUST-0000007,F,46-60 ans,Ménagère,Agriculture,Moral,Actif,2019-12-04
8,CUST-0000008,F,46-60 ans,Agent public,Agriculture,Physique,Actif,2023-06-15
9,CUST-0000009,F,46-60 ans,Pêcheur,Services,Association,Actif,2018-05-24
10,CUST-0000010,M,46-60 ans,Restauratrice,Élevage,Physique,Actif,2025-08-15
11,CUST-0000011,F,46-60 ans,Coiffeur,Éducation,Physique,En veille,2018-08-26
12,CUST-0000012,F,60 ans et plus,Restauratrice,Administration,Physique,Actif,2022-10-18
13,CUST-0000013,M,26-35 ans,Ménagère,Agriculture,Physique,Actif,2024-03-29
14,CUST-0000014,F,46-60 ans,Restauratrice,Informel,Physique,Actif,2026-03-16
15,CUST-0000015,M,60 ans et plus,Entrepreneur,Élevage,Physique,Actif,2021-09-09
16,CUST-0000016,F,36-45 ans,Informaticien,Éducation,Physique,Actif,2024-07-09
17,CUST-0000017,F,46-60 ans,Mécanicien,Technologie,Physique,Actif,2020-08-02
18,CUST-0000018,F,18-25 ans,Artisan,BTP,Physique,Actif,2024-10-19
19,CUST-0000019,F,26-35 ans,Agent public,Santé,Association,Actif,2023-09-12
20,CUST-0000020,M,26-35 ans,Commerçant,Services,Physique,Actif,2019-09-01
21,CUST-0000021,F,36-45 ans,Agriculteur,Informel,Physique,Actif,2023-10-19
22,CUST-0000022,F,46-60 ans,Entrepreneur,Santé,Physique,Actif,2024-04-11
23,CUST-0000023,F,60 ans et plus,Entrepreneur,BTP,Physique,En veille,2026-02-14
24,CUST-0000024,F,18-25 ans,Agent public,Agriculture,Physique,Actif,2025-12-31
